group_id,group_name,project,members number,public_private,need_approval,is_buy_sell,joined,joined_accounts
1576798732363774,Cộng Đồng Cư Dân Ecopark,ecopark,67848,CLOSED,True,False,True,",abcxyz,defghi"
1543497612515840,CỘNG ĐỒNG CƯ DÂN ECOPARK,ecopark,64426,OPEN,False,False,True,",abcxyz"
669537670435985,ECOPARK: Ăn gì? Chơi gì? Ở Đâu?,ecopark,51871,OPEN,False,False,True,",defghi,xzt"
